     41 Marks, Shula
     41 Elton, G.R.
     39 Briggs, J.H.Y.
     35 Walls, A.F.
     33 Watt, D.C.
     31 Shepperson, G.A.
     31 Mathias, P.
     31 Deas, M.D.
     30 Madden, A.F.
     30 Hinsley, F.H.
     28 Smout, T.C.
     28 Bond, B.J.
     27 Rose, M.E.
     27 Barron, Caroline M.
     26 Gray, J.R.
     25 Snell, Keith D.M.
     25 Joll, J.B.
     25 Ferguson, W.
     25 Butt, J.
     25 Barrow, G.W.S.
     24 Saville, J.
     24 Robinson, R.E.
     24 Raychaudhuri, T.
     24 Mason, A.
     24 Howard, M.E.
     24 Forster, G.C.F.
     24 Duffy, Michael
     24 Dilks, D.N.
     24 Cobb, R.C.
     24 Ballhatchet, K.A.
     23 Thane, Patricia M.
     23 Nicholls, A.J.
     23 Morrill, J.S.
     23 Barker, T.C.
     23 Abel-Smith, B.
     22 Kedourie, E.
     21 Phythian-Adams, C.V.
     21 Owen, E.R.J.
     21 Nelson, Janet L.
     21 Morrill, John S.
     21 Bynum, W.F.
     21 Bebbington, David W.
     20 McKitterick, Rosamond D.
     20 Kushner, A.R.J. (Tony)
     20 Johnson, D.W.J.
     20 Hobsbawm, E.J.E.
     20 Carpenter, David A.
     20 Bryer, A.A.M.
     19 Williamson, Tom M.
     19 Williams, G.
     19 Pelling, H.M.
     19 Newbury, C.W.
     19 Harrison, R.J.
     19 Grenville, J.A.S.
     19 Gosden, P.H.J.H.
     19 Gooch, John
     19 Gilley, S.W.
     19 Darwin, John G.
     19 Corfield, Penelope J.
     19 Clunas, Craig
     19 Bayly, Christopher A.
     18 Walton, J.K.
     18 Walsh, J.D.
     18 Trevor-Roper, H.R.
     18 Thompson, D.M.
     18 Thomas, P.D.G.
     18 Smith, Richard M.
     18 Royle, E.
     18 Roots, I.A.
     18 McCord, N.
     18 Hourani, A.H.
     18 Hilton, R.H.
     18 Dobson, R.B.
     18 Christie, I.R.
     18 Binfield, J.C.G.
     18 Batho, G.R.
     17 Washbrook, David A.
     17 Trapido, S.
     17 Thompson, Peter J.
     17 Pole, J.R.
     17 Nish, I.H.
     17 Lynch, Michael
     17 Lonsdale, J.M.
     17 Iliffe, J.
     17 Hall, Catherine M.
     17 Fage, J.D.
     17 Evans, E.J.
     17 Donaldson, G.
     17 Clarke, P.F.
     17 Charlton, K.
     17 Bosworth, C.E.
     16 Willetts, H.T.
     16 Whiting, Richard C.
