      1 Abbott, Mary
      1 Abel, C.G.
      3 Abel, Christopher G.
     23 Abel-Smith, B.
      2 Abel-Smith, Brian
      2 Abramsky, C.
      5 Abramsky, C.A.
      3 Abrams, Lesley
      1 Abrams, Lynn
      4 Abrams, Lynn C.
      2 Abramson, G.
      1 Abulafia, Anna B.S.
      3 Abulafia, Anna B. Sapir
     12 Abulafia, David S.H.
      2 Abulafia, D.S.H.
      1 Acker, S.
      2 Acton, Edward D.J.
      1 Adam, R. J.
      1 Adams, Anthony J.
      2 Adams, David
      1 Adams, David K.
      6 Adams, D.K.
     12 Adams, I.H.
      1 Adams, J.
      1 Adams, J.W.L.
      2 Adamson, David L.
      1 Adams, S.L.
      2 Adams, Tony J.
     13 Addison, P.
      1 Adelman, P.
      1 Adler, Karen H.
      1 Afflerbach, Holger
      2 Afflerbach, Holger H.W.
      2 A'Hearn, Brian
      1 Aird, William M.
      1 Airlie, Stuart R.
      1 Airs, M.
      1 Alavi, S.
      1 Al-Azmeh, A.
      1 Alberti, Sam
      1 Albert, W.I.
      2 Alcock, J.
      5 Alcock, L.
      2 Aldcroft, D.H.
      1 Alderman, G.
      4 Aldgate, A.K.
      3 Aldgate, Anthony K.
      1 Aldous, Chris
      2 Aldous, Christopher
      4 Aldous, Richard
      9 Aldrich, R.E.
      1 Aldrich, R.F.
     12 Aldrich, Richard E.
      1 Aldrich, Richard J.
      1 Alexander, J.A.
      1 Alexander, Jocelyn
      1 Alexander, J. S.
      1 Alexander, J.S.
      1 Alexander, Martin S.
      1 Alexander, M.S.
      2 Alexander, Sally
      2 Alexander, Sally A.
      1 Alexion, Margaret
      1 Alexiou, C.
      1 Alexiou, Margaret
      1 Alford, Bernard W.E.
      7 Alford, B.W.E.
      2 Alford, Stephen
      1 Alford, Stephen A.
      1 Alford, Steven
      2 Ali, Daud
      1 Allan, David
      1 Allan, J.A.
      3 Allan, J.W.
      2 Allchin, F.R.
      1 Allen, Bob
      1 Allen, C.H.
      5 Allen, D.F.
      1 Allen, H.C.
      3 Allen, Joan
      2 Allen, Mark
      4 Allen, Mark A.
      1 Allen, N.J.
      1 Allen, Robert
      1 Allen, Robert C.
      2 Allison, Penelope
      2 Allison, Pim
      1 Allison, R.A.
      1 Allmand, Christopher T.
      7 Allmand, C.T.
      1 Allott, A.N.
      1 Allott, Anna J.
      1 Almond, M.
      1 Alston, C.
      1 Alton, R. E.
      2 Ambler, Rodney W.
      2 Ambler, R.W.
      1 Amélie T.L, Amélie T.L
      1 Anagol, Padma
      1 Anastasakis, Othon
      1 Anderson, A.
      1 Anderson, B.L.
      1 Anderson, Bobby
      4 Anderson, David
      9 Anderson, David M.
      4 Anderson, D.M.
      1 Anderson, G.
      1 Anderson, G.L.
      3 Anderson, M.
      1 Anderson, Malcolm
      1 Anderson, Matthew S.
      9 Anderson, Michael
      1 Anderson, M. S.
      4 Anderson, M.S.
      1 Anderson, Olive R.
      2 Anderson, Robert D.
      1 Anderson, S.F.
      1 Andress, David R.
     13 Andrew, Christopher M.
     16 Andrew, C.M.
      1 Andrewes, A.
      3 Andrews, Frances
      1 Andrews, Frances E.
      1 Andrews, James
      3 Andrews, Jonathan
      3 Andrews, K.R.
      1 Andreyev, Catherine
      6 Andreyev, C. Catherine L.
      6 Angell, A.E.
      1 Anglod, M.J.
      2 Anglo, S.
      1 Angold, Michael J.
      2 Angold, M.J.
      1 Anita Brookner
      1 Anning, A.J.E.
      1 Ansari, Ali
      1 Ansari, Humayun
      4 Ansari, K. Humayun
      3 Ansari, Sarah
      1 Ansari, Sarah F.D.
      1 Anstey, R.T.
      1 Anthony, D.W.
      1 Antonovics, Anthony V.
      1 Appleton, J.H,
      3 Appleton, J.H.
      1 Applin, Jo
      2 Archer, Ian
      4 Archer, Ian W.
      2 Archer, John E.
      2 Archer, Rowena
      1 Archer, Rowena E.
      1 Ardener, E.N.
      3 Ardener, E.W.
      2 Arena, Valentina
      1 Armbrust, Walter
      3 Armstrong, C.A.J.
      1 Armstrong, John
      1 Armstrong, Robert
     12 Armstrong, W.A.
      1 Armstrong, Walter A.
      1 Armstrong, William A.
     11 Armytage, W.H.G.
      1 Arnold, Dana
      1 Arnold, David
      6 Arnold, David J.
      7 Arnold, D.J.
      1 Arnold, M.J.
      5 Arnot, Margaret L.
      6 Arscott, Caroline H.
      1 Arthur, P.
      2 Asbridge, Thomas S.
      1 Ashe, Laura
      1 Ash, Rhiannon
      5 Ashton, Nigel J.
      2 Ashton, Owen
      2 Ashton, Owen R.
      4 Ashton, R.
      7 Ashworth, W.
      1 Assunção, Matthias Röhrig
      1 Astill, G.G.
      3 Astill, Grenville G.
      2 Aston, Emma
      1 Aston, M.
      1 Aston, Nigel R.
      1 Aston, T.H.
      2 Atherton, Ian
      2 Atherton, Ian J.
      2 Atkin, Nicholas
      1 Atkin, Nicholas J.
      1 Atkins, A.
      6 Atkinson, B.J.
      1 Atkinson, B.W.
      1 Atkinson, G.C.
      1 Atkinson, J.
      1 Atmore, A.E.
      2 Attard, Bernard
      2 Attewell, Guy
      1 Atwell, W.S.
      1 Austin, D.
      4 Austin, Gareth M.
      2 Austin, G.M.
      1 Austin, M.M.
      2 Austin, R.
      1 Austin, R.W.J.
      1 Auty, Phyllis
      1 Avdela, Efi
      2 Avery, P.W.
      1 Axton, Marie H.
      1 Axton, Richard P.
      1 Ayers, Pat
      4 Ayers, Tim
     15 Aylmer, G.E.
      2 Aylmer, Gerald E.
      1 Ayre, P.C.I.
      1 Ayton, Andrew
      5 Ayton, Andrew C.
      1 B. Abel-Smith
      1 Bacon, R.W.
      2 Badcock, Sarah
      1 Badger, A.J.
     16 Badger, Anthony J.
      1 Badian, E.
      1 Baggs, Anthony P.
      1 Bagley, F.R.C.
      1 Bagwell, P.S.
      1 Bailey, Adrian F.
      1 Bailey, Coleen
      1 Bailey, G.N.
      2 Bailey, Paul J.
      2 Bailey, V.
      2 Bailiff, Ian
     13 Baines, D.E.
      2 Baines, Dudley E.
      1 Baines, J.R.
      1 Bain, I.
      1 Bairner, A.
      2 Baker, Alan R.H.
     16 Baker, A.R.H.
      1 Baker, Eileen
      4 Baker, J.H.
      1 Baker, John H.
      2 Baker, L. G. D.
      1 Balderston, T.
      1 Balderston, Theo
      1 Baldick, R.J.
      1 Baldoli, Claudia
      3 Balfour, M.L.G.
      1 Ballaster, Ros
      1 Ballhatchet, K. A.
     24 Ballhatchet, K.A.
      1 Ball, J.N.
      1 Ball, Simon
      3 Ball, Simon J.
      1 Ball, S.J.
      1 Ball, S.R.
      8 Ball, Stuart R.
      4 Balzaretti, Ross
      1 Balzaretti, Rossano
      1 Bamford, T.W.
      1 Bamji, Alex
      1 Banfield, Stephen
      2 Banham, P.R.
      1 Bankoff, Greg
      2 Banks, J.A.
      1 Bannerman, J.M.W.
      4 Bannerman, John W.M.
     10 Bannerman, J.W.M.
      1 Bann, S.
      1 Bann, Stephen
      1 Bantock, G.H.
      1 Banton, M.P.
      2 Barber, J.D.
      1 Barber, John D.
      2 Barber, Karin
      2 Barber, Malcolm C.
      1 Barber, Sarah
      1 Barber, Sarah E.
      3 Barbu, Z.
      1 Bargrave-Weaver, D.
      1 Barker, Eileen V.
      2 Barker, Graeme
      1 Barker, Graeme W.W.
      5 Barker, Hannah
      1 Barker, L. G. D.
      5 Barker, R.S.
      2 Barker, Simon
     23 Barker, T.C.
      1 Barkhof, Sandra
      1 Barley, M.W.
      4 Barlow, F.
      1 Barnard, L.W.
      4 Barnard, T.C.
      2 Barnard, Toby
      1 Barnard, Toby C.
      1 Barnes, A.J.L.
      2 Barnes, A. John L.
      2 Barnes, Ian R.
      1 Barnes, I.R.
      1 Barnes, J. W. B.
      1 Barnes, P.A.
      1 Barnes, S.B.
